Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
06/06/2016,17920.33,1686.39,254.79,2.0317
07/06/2016,17938.28,1694.29,253.04,2.028
08/06/2016,18005.05,1699.29,252.69,2.0303
09/06/2016,17985.19,1688.66,254.36,2.0316
10/06/2016,17865.34,1665.22,254.57,2.0124
13/06/2016,17732.48,1645.64,256.14,2.016
14/06/2016,17674.82,1630.45,253.4,1.9916
15/06/2016,17640.17,1633.8,253.89,1.9949
16/06/2016,17733.1,1628.13,253.25,1.9943
17/06/2016,17675.16,1635.78,252.85,1.9934
20/06/2016,17804.87,1664.14,249.58,1.988
21/06/2016,17829.73,1668.78,249.44,1.9931
22/06/2016,17780.83,1667.91,251.62,2.0077
23/06/2016,18011.07,1691.76,250.2,1.9887
24/06/2016,17400.75,1608.79,265.63,2.0504
27/06/2016,17140.24,1571.76,267.46,2.1269
28/06/2016,17409.72,1599.12,265.58,2.1099
29/06/2016,17694.68,1634.41,267.61,2.1232
30/06/2016,17929.99,1653.23,270.81,2.1492
01/07/2016,17949.37,1660.26,279.42,2.2104
04/07/2016,17949.37,1660.88,279.87,2.2154
05/07/2016,17840.62,1645.54,281.12,2.2296
06/07/2016,17918.62,1640.74,284.06,2.2477
07/07/2016,17895.88,1643.93,283.96,2.2485
08/07/2016,18146.74,1662.32,284.67,2.2675
11/07/2016,18226.93,1676.15,288.34,2.3204
12/07/2016,18347.67,1690.69,285.45,2.3265
13/07/2016,18372.12,1694.38,283.36,2.2912
14/07/2016,18506.41,1703.22,283.6,2.318
15/07/2016,18516.55,1700.57,282.81,2.3187
18/07/2016,18533.05,1703.93,285.57,2.3353
19/07/2016,18559.01,1698.72,286.79,2.3739
20/07/2016,18595.03,1707.32,287.81,2.3507
21/07/2016,18517.23,1705.4,287.8,2.3518
22/07/2016,18570.85,1706.97,289.14,2.3679
25/07/2016,18493.06,1703.94,288.42,2.3268
26/07/2016,18473.75,1705.99,288.94,2.3405
27/07/2016,18472.17,1706.35,289.67,2.3299
28/07/2016,18456.35,1707.59,287.67,2.319
29/07/2016,18432.24,1721.79,286.88,2.3066
01/08/2016,18404.51,1717.67,288.3,2.3066
02/08/2016,18313.77,1706.52,288.41,2.2958
03/08/2016,18355,1703.43,285.72,2.2596
04/08/2016,18352.05,1707.69,286.27,2.2678
05/08/2016,18543.53,1716.65,290.28,2.2916
08/08/2016,18529.29,1719.91,292.43,2.3061
09/08/2016,18533.05,1728.52,294.45,2.3368
10/08/2016,18495.66,1727.49,294.23,2.333
11/08/2016,18613.52,1735.8,297.1,2.3549
12/08/2016,18576.47,1736.1,298.01,2.3588
15/08/2016,18636.05,1739.43,298.75,2.3698
16/08/2016,18552.02,1730.94,297.47,2.3586
17/08/2016,18573.94,1731.64,295.31,2.3492
18/08/2016,18597.7,1736.83,293.4,2.3301
19/08/2016,18552.57,1731.85,294.23,2.3247
22/08/2016,18529.42,1732.61,293.9,2.3311
23/08/2016,18547.3,1738.55,292.94,2.3258
24/08/2016,18481.48,1731.17,290.18,2.3181
25/08/2016,18448.41,1727.3,289.35,2.3061
26/08/2016,18395.4,1726.08,289.26,2.3004
29/08/2016,18502.99,1725.57,289.26,2.3004
30/08/2016,18454.3,1723.65,292.69,2.3136
31/08/2016,18400.88,1719.52,290.26,2.3064
01/09/2016,18419.3,1723.55,288.03,2.2952
02/09/2016,18491.96,1734.6,289.05,2.3084
05/09/2016,18491.96,1737.39,289.22,2.3063
06/09/2016,18538.12,1745.89,288.73,2.31
07/09/2016,18526.14,1747.47,289.03,2.3209
